stime,open,high,low,close,volume,amount
20210823,0.991,1.008,0.982,1.005,687300,68832960.0
20210824,1.003,1.017,1.0,1.014,805398,81506720.0
20210825,1.007,1.012,0.999,1.001,109450,10969262.0
20210826,1.0,1.001,0.983,0.984,96971,9616219.0
20210827,0.984,1.002,0.984,0.996,164039,16338786.0
20210830,0.999,1.01,0.986,0.988,99696,9967702.0
20210831,0.988,0.988,0.954,0.96,110522,10646368.0
20210901,0.96,0.972,0.942,0.967,74979,7192740.0
20210902,0.959,0.97,0.948,0.951,59544,5682237.0
20210903,0.95,0.954,0.939,0.941,51644,4883887.0
20210906,0.943,0.96,0.942,0.96,50996,4868720.0
20210907,0.96,0.97,0.954,0.962,63945,6146964.0
20210908,0.961,0.979,0.959,0.977,147119,14315164.0
20210909,0.977,0.977,0.959,0.963,73494,7087347.0
20210910,0.962,0.98,0.957,0.976,65347,6334462.0
20210913,0.974,0.974,0.953,0.956,64947,6223824.0
20210914,0.955,0.969,0.945,0.951,54856,5234125.0
20210915,0.95,0.962,0.932,0.936,71657,6711948.0
20210916,0.936,0.936,0.916,0.918,59992,5545795.0
20210917,0.927,0.929,0.905,0.92,63356,5770248.0
20210922,0.92,0.92,0.905,0.913,40604,3709621.0
20210923,0.913,0.933,0.913,0.931,57281,5296852.0
20210924,0.931,0.934,0.922,0.924,30723,2850888.0
20210927,0.924,0.941,0.924,0.93,65997,6154988.0
20210928,0.94,0.94,0.92,0.927,35848,3323758.0
20210929,0.92,0.92,0.904,0.905,54709,4975744.0
20210930,0.905,0.918,0.905,0.915,25805,2360161.0
20211008,0.916,0.942,0.916,0.929,53438,4997480.0
20211011,0.922,0.936,0.921,0.926,21342,1983899.0
20211012,0.925,0.925,0.899,0.902,52767,4786533.0
20211013,0.902,0.92,0.902,0.918,34900,3175734.0
20211014,0.92,0.923,0.906,0.918,20075,1846676.0
20211015,0.917,0.929,0.91,0.926,67908,6280429.0
20211018,0.925,0.925,0.906,0.912,116515,10619721.0
20211019,0.92,0.931,0.914,0.928,47466,4388757.0
20211020,0.927,0.931,0.925,0.928,22669,2103080.0
20211021,0.928,0.931,0.916,0.917,18033,1662462.0
20211022,0.917,0.934,0.917,0.928,54863,5103554.0
20211025,0.926,0.938,0.921,0.929,39481,3653363.0
20211026,0.932,0.958,0.925,0.958,131099,12423937.0
20211027,0.958,0.958,0.935,0.941,75424,7100398.0
20211028,0.941,0.951,0.937,0.939,55967,5292693.0
20211029,0.937,0.955,0.937,0.952,82447,7838329.0
20211101,0.952,0.977,0.952,0.975,125484,12167423.0
20211102,0.978,0.989,0.969,0.978,122657,12043104.0
20211103,0.978,0.99,0.969,0.976,60165,5899416.0
20211104,0.976,0.993,0.976,0.992,85170,8429799.0
20211105,0.993,1.01,0.993,1.0,149824,15044133.0
20211108,1.0,1.004,0.977,0.99,83104,8182729.0
20211109,0.99,0.995,0.977,0.991,62109,6117188.0
20211110,0.992,1.001,0.985,0.994,91602,9102429.0
20211111,1.002,1.015,0.991,1.006,253590,25511314.0
20211112,1.005,1.011,1.0,1.009,93895,9463302.0
20211115,1.009,1.02,1.007,1.018,164147,16669130.0
20211116,1.018,1.028,1.012,1.013,206731,21115830.0
20211117,1.012,1.017,1.005,1.015,89024,9010294.0
20211118,1.015,1.019,0.998,0.999,53032,5325193.0
20211119,0.999,1.025,0.999,1.021,234295,23879940.0
20211122,1.022,1.051,1.022,1.048,392787,40911688.0
20211123,1.048,1.049,1.03,1.047,110286,11516425.0
20211124,1.04,1.052,1.04,1.047,107015,11210002.0
20211125,1.047,1.053,1.042,1.044,70822,7408254.0
20211126,1.044,1.044,1.018,1.025,51821,5319841.0
20211129,1.016,1.03,1.011,1.029,112642,11556880.0
20211130,1.035,1.04,1.021,1.028,48812,5043797.0
20211201,1.028,1.037,1.025,1.03,51815,5328630.0
20211202,1.031,1.044,1.031,1.035,56275,5840372.0
20211203,1.036,1.06,1.035,1.049,91449,9617373.0
20211206,1.047,1.056,1.038,1.041,55090,5781074.0
20211207,1.041,1.049,1.023,1.034,42156,4361015.0
20211208,1.034,1.07,1.034,1.07,166965,17689110.0
20211209,1.072,1.087,1.068,1.084,121677,13161363.0
20211210,1.085,1.09,1.071,1.079,75428,8130082.0
20211213,1.079,1.099,1.078,1.091,76451,8343670.0
20211214,1.091,1.095,1.084,1.09,49707,5417892.0
20211215,1.09,1.095,1.076,1.077,32976,3570562.0
20211216,1.079,1.09,1.077,1.08,34891,3771210.0
20211217,1.08,1.08,1.059,1.06,35537,3789243.0
20211220,1.069,1.069,1.035,1.036,57473,6029308.0
20211221,1.036,1.057,1.036,1.051,42191,4417355.0
20211222,1.058,1.09,1.055,1.081,99962,10778620.0
20211223,1.081,1.094,1.078,1.089,61666,6719138.0
20211224,1.081,1.102,1.081,1.094,63859,6989076.0
20211227,1.094,1.101,1.081,1.084,45274,4931149.0
20211228,1.092,1.099,1.071,1.079,43849,4739934.0
20211229,1.079,1.092,1.058,1.064,37254,3967463.0
20211230,1.064,1.087,1.064,1.082,33630,3624139.0
20211231,1.088,1.088,1.071,1.08,40122,4328016.0
20220104,1.081,1.086,1.068,1.085,42990,4639935.0
20220105,1.085,1.085,1.033,1.04,93055,9743755.0
20220106,1.036,1.042,1.019,1.033,74089,7641942.0
20220107,1.033,1.044,1.023,1.023,34570,3563668.0
20220110,1.022,1.038,1.006,1.028,52529,5355589.0
20220111,1.036,1.036,1.001,1.002,43720,4434369.0
20220112,1.004,1.018,1.004,1.016,35495,3588497.0
20220113,1.017,1.019,0.996,0.998,47879,4795507.0
20220114,0.994,1.011,0.99,1.0,52354,5253602.0
20220117,1.0,1.028,1.0,1.023,35696,3642813.0
20220118,1.023,1.038,1.017,1.029,33070,3402030.0
20220119,1.02,1.027,1.001,1.01,33880,3432739.0
20220120,1.009,1.016,1.0,1.003,28148,2834228.0
20220121,1.001,1.006,0.985,0.985,40540,4022769.0
20220124,0.983,1.005,0.982,1.001,46523,4628318.0
20220125,1.002,1.003,0.967,0.969,48948,4824867.0
20220126,0.968,0.988,0.958,0.975,68516,6667226.0
20220127,0.97,0.971,0.941,0.948,52361,4979870.0
20220128,0.955,0.968,0.926,0.932,42317,3973543.0
20220207,0.959,0.962,0.928,0.931,71121,6665843.0
20220208,0.943,0.943,0.89,0.912,206790,18669552.0
20220209,0.908,0.924,0.901,0.918,45568,4149077.0
20220210,0.92,0.927,0.912,0.915,42800,3931358.0
20220211,0.91,0.91,0.89,0.891,67804,6115447.0
20220214,0.891,0.902,0.885,0.889,33943,3034425.0
20220215,0.894,0.92,0.892,0.919,59256,5393005.0
20220216,0.919,0.925,0.916,0.916,41903,3860579.0
20220217,0.917,0.932,0.911,0.924,68421,6314363.0
20220218,0.91,0.923,0.909,0.915,57710,5270870.0
20220221,0.915,0.915,0.908,0.91,31089,2830516.0
20220222,0.91,0.91,0.888,0.901,67832,6076862.0
20220223,0.899,0.939,0.899,0.938,76160,7062765.0
20220224,0.938,0.94,0.913,0.925,102926,9508215.0
20220225,0.924,0.945,0.924,0.93,34442,3227346.0
20220228,0.93,0.935,0.916,0.924,52142,4811408.0
20220301,0.945,0.945,0.914,0.924,28779,2653614.0
20220302,0.924,0.924,0.901,0.905,61417,5558014.0
20220303,0.913,0.913,0.879,0.882,110065,9787445.0
20220304,0.874,0.887,0.872,0.875,57442,5044244.0
20220307,0.873,0.873,0.834,0.835,65916,5573077.0
20220308,0.832,0.846,0.81,0.824,86368,7178403.0
20220309,0.823,0.837,0.79,0.826,112989,9238542.0
20220310,0.826,0.85,0.826,0.837,88351,7420260.0
20220311,0.81,0.831,0.806,0.83,115513,9453340.0
20220314,0.816,0.839,0.807,0.808,81339,6631754.0
20220315,0.806,0.808,0.77,0.771,105839,8350386.0
20220316,0.771,0.803,0.758,0.802,92938,7212171.0
20220317,0.81,0.833,0.81,0.819,55195,4548514.0
20220318,0.819,0.823,0.811,0.822,43141,3523486.0
20220321,0.826,0.833,0.817,0.823,38470,3178468.0
20220322,0.82,0.828,0.817,0.822,33781,2774116.0
20220323,0.824,0.824,0.814,0.821,45776,3751143.0
20220324,0.82,0.82,0.803,0.805,32102,2590036.0
20220325,0.805,0.813,0.793,0.793,25546,2050695.0
20220328,0.793,0.793,0.777,0.781,59289,4635216.0
20220329,0.782,0.785,0.754,0.759,38164,2914811.0
20220330,0.759,0.776,0.759,0.774,29443,2266257.0
20220331,0.772,0.772,0.759,0.763,30574,2340231.0
20220401,0.758,0.765,0.752,0.759,51572,3919012.0
20220406,0.752,0.755,0.736,0.739,46351,3436243.0
20220407,0.739,0.743,0.731,0.734,50217,3700588.0
20220408,0.734,0.734,0.715,0.724,49362,3566589.0
20220411,0.723,0.723,0.688,0.689,64589,4516998.0
20220412,0.688,0.7,0.68,0.698,49630,3421938.0
20220413,0.69,0.694,0.683,0.686,39138,2692952.0
20220414,0.686,0.698,0.682,0.696,56486,3888153.0
20220415,0.69,0.703,0.685,0.699,61005,4247624.0
20220418,0.71,0.719,0.695,0.718,57740,4104022.0
20220419,0.718,0.718,0.699,0.701,54858,3873476.0
20220420,0.701,0.707,0.693,0.696,36061,2529838.0
20220421,0.696,0.708,0.682,0.687,63257,4405987.0
20220422,0.68,0.682,0.666,0.672,69002,4652747.0
