stime,open,high,low,close,volume,amount
20220719,1.0,1.001,0.984,0.987,4911097,488444672.0
20220720,0.99,0.997,0.986,0.989,2274198,225289904.0
20220721,0.988,0.99,0.973,0.974,2952184,289688480.0
20220722,0.979,0.985,0.965,0.974,3700180,361280704.0
20220725,0.971,0.975,0.958,0.961,3037693,293236352.0
20220726,0.958,0.979,0.958,0.972,2491763,241579648.0
20220727,0.971,0.98,0.965,0.977,2212953,215588640.0
20220728,0.977,0.987,0.973,0.975,2480685,243316592.0
20220729,0.975,0.985,0.965,0.968,2400818,233673808.0
20220801,0.968,0.982,0.956,0.979,2804185,272036288.0
20220802,0.97,0.97,0.949,0.957,2600809,249272464.0
20220803,0.956,0.972,0.93,0.935,2332049,222045696.0
20220804,0.94,0.944,0.926,0.934,2304087,215268272.0
20220805,0.934,0.947,0.929,0.945,2287780,214491040.0
20220808,0.943,0.954,0.938,0.953,2279877,215798368.0
20220809,0.953,0.966,0.946,0.96,2391101,229557008.0
20220810,0.956,0.963,0.948,0.952,2018456,192454320.0
20220811,0.952,0.963,0.945,0.961,2107851,201127120.0
20220812,0.96,0.965,0.956,0.96,2012721,193575008.0
20220815,0.957,0.984,0.957,0.976,2240104,218734768.0
20220816,0.974,0.988,0.974,0.979,2204099,216730192.0
20220817,0.979,0.988,0.974,0.986,2032652,199268368.0
20220818,0.986,0.993,0.981,0.983,1947477,192369088.0
20220819,0.983,0.985,0.966,0.968,1870720,181784288.0
20220822,0.968,0.981,0.957,0.979,1918473,186917248.0
20220823,0.975,0.987,0.975,0.979,1772872,173833424.0
20220824,0.982,0.986,0.949,0.954,2127977,205349504.0
20220825,0.95,0.956,0.936,0.948,1990135,188066784.0
20220826,0.948,0.957,0.943,0.945,1760660,167367184.0
20220829,0.936,0.943,0.931,0.941,1838667,172554368.0
20220830,0.941,0.943,0.929,0.934,2009212,187532848.0
20220831,0.929,0.929,0.904,0.909,2333553,212879488.0
20220901,0.909,0.914,0.901,0.902,1873313,170012832.0
20220902,0.901,0.906,0.891,0.897,2040950,183174208.0
20220905,0.893,0.901,0.889,0.897,2184752,195278912.0
20220906,0.897,0.917,0.892,0.916,1927194,174581328.0
20220907,0.91,0.93,0.909,0.928,1761254,162985840.0
20220908,0.927,0.93,0.916,0.919,1638521,151068064.0
20220909,0.919,0.927,0.915,0.927,1604538,147939536.0
20220913,0.927,0.931,0.92,0.925,1584016,146513680.0
20220914,0.91,0.918,0.904,0.909,1605825,146309536.0
20220915,0.909,0.914,0.875,0.883,1908477,169638640.0
20220916,0.88,0.881,0.859,0.86,1610447,140142544.0
20220919,0.859,0.868,0.855,0.86,1589859,136895616.0
20220920,0.86,0.882,0.86,0.872,1491251,130404968.0
20220921,0.87,0.875,0.86,0.87,1683187,146279168.0
20220922,0.868,0.874,0.859,0.866,1543311,133790280.0
20220923,0.866,0.872,0.851,0.86,1544807,132716968.0
20220926,0.853,0.87,0.85,0.855,1705186,146920176.0
20220927,0.854,0.86,0.846,0.858,1682790,143224768.0
20220928,0.858,0.858,0.831,0.832,1702808,142957392.0
20220929,0.836,0.845,0.832,0.837,1743926,146355616.0
20220930,0.837,0.839,0.823,0.824,1686097,139774576.0
20221010,0.824,0.827,0.806,0.808,1600464,130745272.0
20221011,0.809,0.827,0.809,0.826,1485637,121984656.0
20221012,0.824,0.845,0.808,0.843,1848500,151167264.0
20221013,0.841,0.845,0.835,0.837,1051157,88234312.0
20221014,0.843,0.865,0.839,0.858,1293452,109923376.0
20221017,0.85,0.853,0.84,0.852,911415,77085128.0
20221018,0.855,0.862,0.85,0.851,941264,80545592.0
20221019,0.851,0.861,0.843,0.843,933777,79592800.0
20221020,0.843,0.843,0.819,0.827,892913,73855456.0
20221021,0.826,0.836,0.821,0.826,974417,80738944.0
20221024,0.826,0.835,0.806,0.811,1116895,91441632.0
20221025,0.811,0.827,0.804,0.819,952140,77619432.0
20221026,0.817,0.835,0.817,0.829,950934,78631968.0
20221027,0.83,0.843,0.821,0.822,894748,74531344.0
20221028,0.822,0.822,0.788,0.791,1179261,94754832.0
20221031,0.784,0.795,0.78,0.783,1004484,78970968.0
20221101,0.783,0.813,0.783,0.813,1114413,88983712.0
20221102,0.813,0.827,0.806,0.823,1072961,87584208.0
20221103,0.821,0.828,0.814,0.818,713948,58632016.0
20221104,0.818,0.852,0.818,0.849,1169685,98410464.0
20221107,0.851,0.864,0.85,0.856,878252,75334216.0
20221108,0.856,0.861,0.845,0.852,860001,73325520.0
20221109,0.854,0.857,0.843,0.844,884560,75078280.0
20221110,0.84,0.84,0.825,0.83,911056,75719104.0
20221111,0.85,0.858,0.845,0.853,1169265,99394104.0
20221114,0.851,0.861,0.835,0.839,1037161,87967608.0
20221115,0.839,0.854,0.833,0.854,906653,76498432.0
20221116,0.852,0.853,0.841,0.843,720464,60941808.0
20221117,0.843,0.843,0.824,0.833,816890,67784744.0
20221118,0.833,0.838,0.826,0.829,768724,64082368.0
